county,State,per capita income,median household income,median family income,population,number of households,County_State,Counts,website_count,OrganicYN,BakedgoodsYN,CheeseYN,CraftsYN,FlowersYN,EggsYN,SeafoodYN,HerbsYN,VegetablesYN,HoneyYN,JamsYN,MapleYN,MeatYN,NurseryYN,NutsYN,PlantsYN,PoultryYN,PreparedYN,SoapYN,TreesYN,WineYN,CoffeeYN,BeansYN,FruitsYN,GrainsYN,JuicesYN,MushroomsYN,PetFoodYN,TofuYN,WildHarvestedYN
King,Washington,"$39,911 ","$71,811 ","$92,510 ","1,974,567","802,606","King, Washington",44,42,37.0,39.0,35.0,23.0,40.0,32.0,23.0,35.0,41.0,40.0,39.0,1.0,29.0,0.0,23.0,21.0,24.0,36.0,23.0,12.0,28.0,20.0,16.0,41.0,7.0,19.0,9.0,7.0,0.0,6.0
Fauquier,Virginia,"$39,600 ","$88,409 ","$103,556 ","66,015","23,130","Fauquier, Virginia",4,3,0.0,3.0,0.0,3.0,3.0,3.0,0.0,2.0,3.0,3.0,3.0,1.0,3.0,0.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Hamilton,Indiana,"$39,521 ","$82,468 ","$99,768 ","282,977","103,234","Hamilton, Indiana",7,6,1.0,4.0,1.0,2.0,4.0,3.0,0.0,3.0,4.0,4.0,4.0,2.0,4.0,1.0,1.0,4.0,3.0,3.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0
Eagle,Colorado,"$39,497 ","$74,456 ","$86,167 ","52,151","17,966","Eagle, Colorado",6,5,2.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0
James City,Virginia,"$39,133 ","$76,960 ","$90,406 ","68,171","26,883","James City, Virginia",1,0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Bristol,Rhode Island,"$38,893 ","$71,238 ","$93,131 ","49,426","19,174","Bristol, Rhode Island",3,3,1.0,3.0,2.0,0.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0,1.0
Johnson,Kansas,"$38,827 ","$74,717 ","$92,512 ","552,947","216,304","Johnson, Kansas",9,7,3.0,8.0,2.0,7.0,7.0,5.0,0.0,7.0,7.0,8.0,7.0,2.0,6.0,0.0,3.0,6.0,4.0,5.0,7.0,2.0,2.0,2.0,1.0,7.0,3.0,2.0,2.0,2.0,0.0,1.0
Clarke,Virginia,"$38,748 ","$77,597 ","$95,654 ","14,191","5,580","Clarke, Virginia",1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Williams,North Dakota,"$38,738 ","$76,210 ","$86,285 ","25,024","10,411","Williams, North Dakota",4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DuPage,Illinois,"$38,570 ","$78,487 ","$95,208 ","922,803","336,028","DuPage, Illinois",19,17,9.0,16.0,13.0,15.0,11.0,13.0,8.0,14.0,17.0,13.0,15.0,9.0,13.0,3.0,8.0,12.0,12.0,15.0,15.0,9.0,1.0,9.0,7.0,13.0,8.0,10.0,9.0,9.0,7.0,7.0
Rockingham,New Hampshire,"$38,399 ","$77,348 ","$93,420 ","296,718","116,262","Rockingham, New Hampshire",19,12,12.0,16.0,13.0,13.0,11.0,16.0,5.0,13.0,18.0,13.0,16.0,15.0,15.0,0.0,1.0,10.0,12.0,14.0,12.0,1.0,7.0,9.0,4.0,14.0,2.0,6.0,5.0,3.0,0.0,2.0
Calvert,Maryland,"$38,260 ","$95,477 ","$107,684 ","89,332","30,923","Calvert, Maryland",4,4,1.0,4.0,1.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,4.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Contra Costa,California,"$38,219 ","$78,756 ","$94,208 ","1,065,794","375,855","Contra Costa, California",28,23,21.0,22.0,10.0,3.0,17.0,12.0,8.0,19.0,22.0,18.0,11.0,0.0,7.0,1.0,17.0,5.0,6.0,20.0,14.0,6.0,1.0,4.0,4.0,21.0,3.0,5.0,6.0,0.0,0.0,0.0
Queen Anne's,Maryland,"$38,108 ","$87,256 ","$97,909 ","48,166","17,292","Queen Anne's, Maryland",3,1,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0
Talbot,Maryland,"$38,022 ","$61,597 ","$74,811 ","37,859","16,013","Talbot, Maryland",2,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Lake,Illinois,"$38,018 ","$77,469 ","$92,116 ","702,099","241,072","Lake, Illinois",19,15,8.0,13.0,10.0,6.0,11.0,11.0,6.0,10.0,12.0,13.0,11.0,3.0,9.0,0.0,3.0,9.0,11.0,11.0,6.0,2.0,1.0,7.0,2.0,14.0,2.0,7.0,8.0,5.0,0.0,0.0
Boulder,Colorado,"$38,011 ","$67,956 ","$92,667 ","301,072","120,521","Boulder, Colorado",6,6,4.0,4.0,3.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,1.0,5.0,2.0,2.0,5.0,2.0,5.0,5.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0
Sussex,New Jersey,"$37,949 ","$87,335 ","$100,066 ","147,924","54,746","Sussex, New Jersey",3,3,0.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0
Collin,Texas,"$37,839 ","$82,762 ","$97,421 ","811,308","289,752","Collin, Texas",4,4,1.0,4.0,2.0,4.0,2.0,4.0,0.0,3.0,4.0,4.0,4.0,0.0,3.0,0.0,2.0,1.0,4.0,2.0,4.0,1.0,2.0,3.0,1.0,4.0,0.0,2.0,2.0,3.0,0.0,1.0
San Juan,Washington,"$37,719 ","$53,376 ","$65,067 ","15,786","7,753","San Juan, Washington",3,2,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
Litchfield,Connecticut,"$37,667 ","$71,338 ","$87,945 ","188,629","75,755","Litchfield, Connecticut",15,5,4.0,5.0,4.0,3.0,4.0,5.0,0.0,5.0,5.0,5.0,5.0,4.0,4.0,0.0,1.0,4.0,3.0,2.0,5.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0
Waukesha,Wisconsin,"$37,577 ","$75,850 ","$92,974 ","391,200","153,422","Waukesha, Wisconsin",11,8,3.0,8.0,5.0,8.0,7.0,8.0,1.0,9.0,9.0,8.0,8.0,5.0,6.0,1.0,2.0,8.0,5.0,7.0,8.0,4.0,0.0,2.0,1.0,8.0,1.0,2.0,2.0,2.0,0.0,1.0
Juneau,Alaska,"$37,558 ","$81,490 ","$95,112 ","31,897","12,099","Juneau, Alaska",2,2,1.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0
Hennepin,Minnesota,"$37,485 ","$64,403 ","$84,559 ","1,170,623","481,263","Hennepin, Minnesota",48,43,14.0,19.0,14.0,13.0,20.0,17.0,10.0,19.0,26.0,20.0,21.0,16.0,17.0,3.0,9.0,15.0,17.0,19.0,15.0,7.0,0.0,11.0,4.0,15.0,6.0,8.0,6.0,5.0,1.0,4.0
Boone,Indiana,"$37,482 ","$67,255 ","$80,907 ","58,009","21,908","Boone, Indiana",3,1,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0
Bucks,Pennsylvania,"$37,466 ","$76,555 ","$92,907 ","625,977","230,366","Bucks, Pennsylvania",13,11,7.0,8.0,7.0,8.0,8.0,7.0,1.0,6.0,8.0,8.0,8.0,6.0,6.0,0.0,2.0,5.0,5.0,6.0,7.0,3.0,4.0,6.0,1.0,7.0,2.0,4.0,5.0,4.0,0.0,3.0
Mercer,New Jersey,"$37,465 ","$73,480 ","$94,267 ","368,094","130,754","Mercer, New Jersey",12,10,6.0,8.0,5.0,5.0,8.0,7.0,3.0,8.0,8.0,8.0,8.0,3.0,6.0,0.0,1.0,6.0,5.0,7.0,5.0,2.0,4.0,5.0,1.0,8.0,2.0,6.0,4.0,2.0,0.0,4.0
Carver,Minnesota,"$37,457 ","$83,773 ","$96,913 ","92,770","33,486","Carver, Minnesota",1,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Broomfield,Colorado,"$37,442 ","$77,998 ","$96,787 ","57,171","22,016","Broomfield, Colorado",1,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Prince William,Virginia,"$37,401 ","$98,071 ","$106,544 ","416,668","132,442","Prince William, Virginia",6,4,0.0,5.0,1.0,2.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0,1.0,2.0,5.0,5.0,4.0,2.0,1.0,4.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0
Charles,Maryland,"$37,277 ","$93,160 ","$104,078 ","148,957","51,247","Charles, Maryland",4,2,0.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
Albemarle,Virginia,"$37,239 ","$67,725 ","$89,889 ","100,636","37,964","Albemarle, Virginia",6,3,1.0,5.0,2.0,5.0,5.0,4.0,1.0,5.0,5.0,5.0,5.0,1.0,4.0,0.0,2.0,5.0,3.0,3.0,5.0,3.0,0.0,2.0,0.0,4.0,0.0,1.0,2.0,1.0,1.0,0.0
Washington,Rhode Island,"$37,023 ","$72,138 ","$91,532 ","126,627","49,430","Washington, Rhode Island",8,6,3.0,6.0,2.0,4.0,4.0,5.0,4.0,2.0,6.0,5.0,3.0,4.0,4.0,0.0,1.0,3.0,3.0,5.0,5.0,0.0,0.0,2.0,0.0,6.0,1.0,3.0,2.0,2.0,1.0,1.0
Suffolk,New York,"$36,945 ","$87,763 ","$100,652 ","1,495,803","497,347","Suffolk, New York",24,14,8.0,14.0,14.0,4.0,11.0,13.0,9.0,12.0,18.0,14.0,12.0,2.0,5.0,1.0,5.0,13.0,7.0,9.0,11.0,5.0,8.0,5.0,0.0,13.0,0.0,4.0,3.0,3.0,0.0,1.0
Frederick,Maryland,"$36,917 ","$84,570 ","$98,259 ","236,668","86,337","Frederick, Maryland",14,10,4.0,13.0,7.0,12.0,8.0,13.0,1.0,13.0,13.0,12.0,12.0,2.0,11.0,2.0,1.0,10.0,10.0,10.0,10.0,3.0,5.0,4.0,1.0,11.0,0.0,3.0,1.0,3.0,0.0,3.0
St. Johns,Florida,"$36,836 ","$64,876 ","$80,707 ","197,115","75,558","St. Johns, Florida",4,4,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,0.0,1.0,0.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0
Burlington,New Jersey,"$36,835 ","$78,446 ","$94,324 ","449,964","164,979","Burlington, New Jersey",7,4,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Fulton,Georgia,"$36,757 ","$56,857 ","$75,658 ","948,554","368,184","Fulton, Georgia",22,22,14.0,12.0,8.0,8.0,11.0,11.0,4.0,11.0,17.0,13.0,13.0,0.0,11.0,0.0,7.0,6.0,8.0,13.0,11.0,3.0,0.0,9.0,3.0,17.0,3.0,13.0,7.0,4.0,2.0,6.0
