date,state,positive,negative,recovered,dateModified,checkTimeEt,death,dateChecked,total,totalTestResults,totalTestResultsIncrease,Total - TotalTestResults
20200402,AK,143.0,4879.0,,2020-04-01T21:00:00Z,04/01 17:00,3.0,2020-04-01T21:00:00Z,5022,5022,419,0
20200403,AK,157.0,5859.0,,2020-04-03T16:00:00Z,04/03 12:00,3.0,2020-04-03T16:00:00Z,6016,6016,994,0
20200404,AK,171.0,5869.0,,2020-04-04T16:00:00Z,04/04 12:00,5.0,2020-04-04T16:00:00Z,6040,6040,24,0
20200405,AK,185.0,6099.0,,2020-04-05T00:00:00Z,04/04 20:00,6.0,2020-04-05T00:00:00Z,6284,6284,244,0
20200406,AK,191.0,6692.0,,2020-04-06T14:45:00Z,04/06 10:45,6.0,2020-04-06T14:45:00Z,6883,6883,599,0
20200407,AK,213.0,6700.0,29.0,2020-04-07T15:15:00Z,04/07 11:15,6.0,2020-04-07T15:15:00Z,6913,6913,30,0
20200408,AK,226.0,6842.0,32.0,2020-04-08T15:00:00Z,04/08 11:00,7.0,2020-04-08T15:00:00Z,7068,7068,155,0
20200409,AK,235.0,6988.0,49.0,2020-04-09T16:00:00Z,04/09 12:00,7.0,2020-04-09T16:00:00Z,7223,7223,155,0
20200410,AK,246.0,7186.0,55.0,2020-04-10T15:30:00Z,04/10 11:30,7.0,2020-04-10T15:30:00Z,7432,7432,209,0
20200411,AK,257.0,7475.0,63.0,2020-04-11T14:45:00Z,04/11 10:45,8.0,2020-04-11T14:45:00Z,7732,7732,300,0
20200412,AK,272.0,7766.0,66.0,2020-04-12T14:50:00Z,04/12 10:50,8.0,2020-04-12T14:50:00Z,8038,8038,306,0
20200413,AK,277.0,7553.0,85.0,2020-04-13T00:00:00Z,04/12 20:00,8.0,2020-04-13T00:00:00Z,7830,7830,-208,0
20200414,AK,285.0,8063.0,98.0,2020-04-14T14:15:00Z,04/14 10:15,9.0,2020-04-14T14:15:00Z,8348,8348,518,0
20200415,AK,293.0,8371.0,106.0,2020-04-15T15:15:00Z,04/15 11:15,9.0,2020-04-15T15:15:00Z,8664,8664,316,0
20200416,AK,300.0,8435.0,110.0,2020-04-16T15:30:00Z,04/16 11:30,9.0,2020-04-16T15:30:00Z,8735,8735,71,0
20200417,AK,309.0,9141.0,128.0,2020-04-16T00:00:00Z,04/15 20:00,9.0,2020-04-16T00:00:00Z,9450,9450,715,0
20200418,AK,314.0,9341.0,147.0,2020-04-18T14:15:00Z,04/18 10:15,9.0,2020-04-18T14:15:00Z,9655,9655,205,0
20200419,AK,319.0,9576.0,153.0,2020-04-18T17:45:00Z,04/18 13:45,9.0,2020-04-18T17:45:00Z,9895,9895,240,0
20200420,AK,321.0,9803.0,161.0,2020-04-20T14:00:00Z,04/20 10:00,9.0,2020-04-20T14:00:00Z,10124,10124,229,0
20200421,AK,329.0,10790.0,168.0,2020-04-21T15:15:00Z,04/21 11:15,9.0,2020-04-21T15:15:00Z,11119,11119,995,0
20200422,AK,335.0,11824.0,196.0,2020-04-22T14:00:00Z,04/22 10:00,9.0,2020-04-22T14:00:00Z,12159,12159,1040,0
20200423,AK,337.0,11824.0,209.0,2020-04-23T14:00:00Z,04/23 10:00,9.0,2020-04-23T14:00:00Z,12161,12161,2,0
20200424,AK,339.0,11942.0,208.0,2020-04-24T15:00:00Z,04/24 11:00,9.0,2020-04-24T15:00:00Z,12281,12281,120,0
20200425,AK,339.0,15393.0,217.0,2020-04-25T16:00:00Z,04/25 12:00,9.0,2020-04-25T16:00:00Z,15732,15732,3451,0
20200426,AK,341.0,15836.0,217.0,2020-04-26T14:15:00Z,04/26 10:15,9.0,2020-04-26T14:15:00Z,16177,16177,445,0
20200427,AK,345.0,15911.0,218.0,2020-04-27T14:00:00Z,04/27 10:00,9.0,2020-04-27T14:00:00Z,16256,16256,79,0
20200428,AK,351.0,16738.0,228.0,2020-04-28T14:50:00Z,04/28 10:50,9.0,2020-04-28T14:50:00Z,17089,17089,833,0
20200429,AK,355.0,18764.0,240.0,2020-04-28T14:50:00Z,04/28 10:50,9.0,2020-04-28T14:50:00Z,19119,19119,2030,0
20200430,AK,355.0,18764.0,252.0,2020-04-30T15:00:00Z,04/30 11:00,9.0,2020-04-30T15:00:00Z,19119,19119,0,0
20200501,AK,364.0,19961.0,254.0,2020-05-01T14:00:00Z,05/01 10:00,9.0,2020-05-01T14:00:00Z,20325,20325,1206,0
20200502,AK,365.0,21034.0,261.0,2020-05-02T00:00:00Z,05/01 20:00,9.0,2020-05-02T00:00:00Z,21399,21399,1074,0
20200503,AK,368.0,21210.0,262.0,2020-05-03T14:15:00Z,05/03 10:15,9.0,2020-05-03T14:15:00Z,21578,21578,179,0
20200504,AK,370.0,21353.0,263.0,2020-05-04T00:00:00Z,05/03 20:00,9.0,2020-05-04T00:00:00Z,21723,21723,145,0
20200505,AK,371.0,22321.0,277.0,2020-05-05T00:00:00Z,05/04 20:00,9.0,2020-05-05T00:00:00Z,22692,22692,969,0
20200506,AK,372.0,23283.0,284.0,2020-05-06T00:00:00Z,05/05 20:00,10.0,2020-05-06T00:00:00Z,23655,23655,963,0
20200507,AK,374.0,23967.0,291.0,2020-05-07T00:00:00Z,05/06 20:00,10.0,2020-05-07T00:00:00Z,24341,24341,686,0
20200508,AK,377.0,25096.0,305.0,2020-05-08T00:00:00Z,05/07 20:00,10.0,2020-05-08T00:00:00Z,25473,25473,1132,0
20200509,AK,378.0,26071.0,318.0,2020-05-09T00:00:00Z,05/08 20:00,10.0,2020-05-09T00:00:00Z,26449,26449,976,0
20200510,AK,379.0,26985.0,324.0,2020-05-10T14:00:00Z,05/10 10:00,10.0,2020-05-10T14:00:00Z,27364,27364,915,0
20200511,AK,381.0,28299.0,328.0,2020-05-11T00:00:00Z,05/10 20:00,10.0,2020-05-11T00:00:00Z,28680,28680,1316,0
20200512,AK,383.0,29578.0,334.0,2020-05-12T00:00:00Z,05/11 20:00,10.0,2020-05-12T00:00:00Z,29961,29961,1281,0
20200513,AK,383.0,30266.0,338.0,2020-05-13T00:00:00Z,05/12 20:00,10.0,2020-05-13T00:00:00Z,30649,30649,688,0
20200514,AK,387.0,31375.0,339.0,2020-05-14T00:00:00Z,05/13 20:00,10.0,2020-05-14T00:00:00Z,31762,31762,1113,0
20200515,AK,388.0,32030.0,343.0,2020-05-14T00:00:00Z,05/13 20:00,10.0,2020-05-14T00:00:00Z,32418,32418,656,0
20200516,AK,392.0,32889.0,344.0,2020-05-16T00:00:00Z,05/15 20:00,10.0,2020-05-16T00:00:00Z,33281,33281,863,0
20200517,AK,396.0,34255.0,344.0,2020-05-17T00:00:00Z,05/16 20:00,10.0,2020-05-17T00:00:00Z,34651,34651,1370,0
20200518,AK,399.0,35212.0,345.0,2020-05-18T00:00:00Z,05/17 20:00,10.0,2020-05-18T00:00:00Z,35611,35611,960,0
20200519,AK,399.0,35981.0,348.0,2020-05-19T00:00:00Z,05/18 20:00,10.0,2020-05-19T00:00:00Z,36380,36380,769,0
20200520,AK,402.0,36643.0,352.0,2020-05-20T00:00:00Z,05/19 20:00,10.0,2020-05-20T00:00:00Z,37045,37045,665,0
20200521,AK,402.0,39143.0,356.0,2020-05-21T00:00:00Z,05/20 20:00,10.0,2020-05-21T00:00:00Z,39545,39545,2500,0
20200522,AK,404.0,41042.0,356.0,2020-05-22T00:00:00Z,05/21 20:00,10.0,2020-05-22T00:00:00Z,41446,41446,1901,0
20200523,AK,408.0,41943.0,358.0,2020-05-23T15:00:00Z,05/23 11:00,10.0,2020-05-23T15:00:00Z,42351,42351,905,0
20200524,AK,408.0,43099.0,358.0,2020-05-24T00:00:00Z,05/23 20:00,10.0,2020-05-24T00:00:00Z,43507,43507,1156,0
20200525,AK,409.0,44063.0,361.0,2020-05-25T00:00:00Z,05/24 20:00,10.0,2020-05-25T00:00:00Z,44472,44472,965,0
20200526,AK,411.0,44553.0,362.0,2020-05-26T00:00:00Z,05/25 20:00,10.0,2020-05-26T00:00:00Z,44964,44964,492,0
20200527,AK,412.0,45951.0,364.0,2020-05-27T00:00:00Z,05/26 20:00,10.0,2020-05-27T00:00:00Z,46363,46363,1399,0
20200528,AK,425.0,47545.0,366.0,2020-05-28T00:00:00Z,05/27 20:00,10.0,2020-05-28T00:00:00Z,47970,47970,1607,0
20200529,AK,430.0,49009.0,367.0,2020-05-29T00:00:00Z,05/28 20:00,10.0,2020-05-29T00:00:00Z,49439,49439,1469,0
20200530,AK,434.0,51261.0,368.0,2020-05-30T00:00:00Z,05/29 20:00,10.0,2020-05-30T00:00:00Z,51695,51695,2256,0
20200531,AK,434.0,51261.0,368.0,2020-05-30T00:00:00Z,05/29 20:00,10.0,2020-05-30T00:00:00Z,51695,51695,0,0
20200601,AK,467.0,53723.0,368.0,2020-06-01T00:00:00Z,05/31 20:00,10.0,2020-06-01T00:00:00Z,54190,54190,2495,0
20200602,AK,487.0,55716.0,371.0,2020-06-02T00:00:00Z,06/01 20:00,10.0,2020-06-02T00:00:00Z,56203,56203,2013,0
20200603,AK,505.0,57677.0,373.0,2020-06-03T00:00:00Z,06/02 20:00,10.0,2020-06-03T00:00:00Z,58182,58182,1979,0
20200604,AK,513.0,59584.0,376.0,2020-06-04T00:00:00Z,06/03 20:00,10.0,2020-06-04T00:00:00Z,60097,60097,1915,0
20200605,AK,524.0,60466.0,380.0,2020-06-05T00:00:00Z,06/04 20:00,10.0,2020-06-05T00:00:00Z,60990,60990,893,0
20200606,AK,536.0,63365.0,382.0,2020-06-06T00:00:00Z,06/05 20:00,10.0,2020-06-06T00:00:00Z,63901,63901,2911,0
20200607,AK,544.0,64360.0,382.0,2020-06-07T00:00:00Z,06/06 20:00,10.0,2020-06-07T00:00:00Z,64904,64904,1003,0
20200608,AK,563.0,65349.0,384.0,2020-06-08T00:00:00Z,06/07 20:00,10.0,2020-06-08T00:00:00Z,65912,65912,1008,0
20200609,AK,573.0,66317.0,389.0,2020-06-09T00:00:00Z,06/08 20:00,11.0,2020-06-09T00:00:00Z,66890,66890,978,0
20200610,AK,593.0,67127.0,392.0,2020-06-10T00:00:00Z,06/09 20:00,11.0,2020-06-10T00:00:00Z,67720,67720,830,0
20200611,AK,611.0,68400.0,397.0,2020-06-11T00:00:00Z,06/10 20:00,11.0,2020-06-11T00:00:00Z,69011,69011,1291,0
20200612,AK,625.0,70255.0,403.0,2020-06-12T00:00:00Z,06/11 20:00,12.0,2020-06-12T00:00:00Z,70880,70880,1869,0
20200613,AK,654.0,71149.0,405.0,2020-06-13T00:00:00Z,06/12 20:00,12.0,2020-06-13T00:00:00Z,71803,71803,923,0
20200614,AK,661.0,72806.0,411.0,2020-06-14T00:00:00Z,06/13 20:00,12.0,2020-06-14T00:00:00Z,73467,73467,1664,0
20200615,AK,664.0,73773.0,417.0,2020-06-15T00:00:00Z,06/14 20:00,12.0,2020-06-15T00:00:00Z,74437,74437,970,0
20200616,AK,676.0,75539.0,429.0,2020-06-16T00:00:00Z,06/15 20:00,12.0,2020-06-16T00:00:00Z,76215,76215,1778,0
20200617,AK,696.0,77013.0,438.0,2020-06-17T00:00:00Z,06/16 20:00,12.0,2020-06-17T00:00:00Z,77709,77709,1494,0
20200618,AK,708.0,80477.0,449.0,2020-06-18T00:00:00Z,06/17 20:00,12.0,2020-06-18T00:00:00Z,81185,81185,3476,0
20200619,AK,722.0,82909.0,457.0,2020-06-19T00:00:00Z,06/18 20:00,12.0,2020-06-19T00:00:00Z,83631,83631,2446,0
20200620,AK,743.0,86175.0,464.0,2020-06-20T00:00:00Z,06/19 20:00,12.0,2020-06-20T00:00:00Z,86918,86918,3287,0
20200621,AK,755.0,87296.0,475.0,2020-06-21T00:00:00Z,06/20 20:00,12.0,2020-06-21T00:00:00Z,88051,88051,1133,0
20200622,AK,761.0,90063.0,491.0,2020-06-22T00:00:00Z,06/21 20:00,12.0,2020-06-22T00:00:00Z,90824,90824,2773,0
20200623,AK,778.0,92169.0,502.0,2020-06-23T00:00:00Z,06/22 20:00,12.0,2020-06-23T00:00:00Z,92947,92947,2123,0
20200624,AK,792.0,95304.0,507.0,2020-06-24T00:00:00Z,06/23 20:00,12.0,2020-06-24T00:00:00Z,96096,96096,3149,0
20200625,AK,816.0,98636.0,513.0,2020-06-25T00:00:00Z,06/24 20:00,12.0,2020-06-25T00:00:00Z,99452,99452,3356,0
20200626,AK,836.0,100956.0,519.0,2020-06-26T00:00:00Z,06/25 20:00,14.0,2020-06-26T00:00:00Z,101792,101792,2340,0
20200627,AK,854.0,104727.0,521.0,2020-06-27T00:00:00Z,06/26 20:00,14.0,2020-06-27T00:00:00Z,105581,105581,3789,0
20200628,AK,883.0,107417.0,521.0,2020-06-28T00:00:00Z,06/27 20:00,14.0,2020-06-28T00:00:00Z,108300,108300,2719,0
20200629,AK,904.0,107805.0,525.0,2020-06-29T00:00:00Z,06/28 20:00,14.0,2020-06-29T00:00:00Z,108709,108709,409,0
20200630,AK,940.0,111245.0,526.0,2020-06-29T00:00:00Z,06/28 20:00,14.0,2020-06-29T00:00:00Z,112185,112185,3476,0
20200307,AL,0.0,,,,,,,0,0,0,0
20200308,AL,0.0,,,,,,,0,0,0,0
20200309,AL,0.0,,,,,,,0,0,0,0
20200310,AL,0.0,0.0,,,,,,0,0,0,0
20200311,AL,0.0,10.0,,,,,,10,10,10,0
20200312,AL,0.0,10.0,,2020-03-09T00:00:00Z,03/08 20:00,,2020-03-09T00:00:00Z,10,10,0,0
20200313,AL,1.0,11.0,,2020-03-13T00:00:00Z,03/12 20:00,,2020-03-13T00:00:00Z,12,12,2,0
20200314,AL,6.0,22.0,,2020-03-13T00:00:00Z,03/12 20:00,,2020-03-13T00:00:00Z,74,28,16,46
20200315,AL,12.0,28.0,,2020-03-15T14:12:00Z,03/15 10:12,0.0,2020-03-15T14:12:00Z,86,40,12,46
20200316,AL,28.0,28.0,,2020-03-16T15:08:00Z,03/16 11:08,0.0,2020-03-16T15:08:00Z,96,56,16,40
20200317,AL,36.0,28.0,,2020-03-17T11:15:00Z,03/17 07:15,0.0,2020-03-17T11:15:00Z,64,64,8,0
20200318,AL,46.0,28.0,,2020-03-18T11:05:00Z,03/18 07:05,0.0,2020-03-18T11:05:00Z,74,74,10,0
20200319,AL,68.0,28.0,,2020-03-19T10:45:00Z,03/19 06:45,0.0,2020-03-19T10:45:00Z,96,96,22,0
20200320,AL,81.0,28.0,,2020-03-20T11:00:00Z,03/20 07:00,0.0,2020-03-20T11:00:00Z,109,109,13,0
20200321,AL,124.0,28.0,,2020-03-21T11:20:00Z,03/21 07:20,0.0,2020-03-21T11:20:00Z,152,152,43,0
20200322,AL,138.0,1464.0,,2020-03-22T10:37:00Z,03/22 06:37,0.0,2020-03-22T10:37:00Z,1602,1602,1450,0
20200323,AL,167.0,1665.0,,2020-03-23T12:00:00Z,03/23 08:00,0.0,2020-03-23T12:00:00Z,1832,1832,230,0
20200324,AL,215.0,2106.0,,2020-03-24T12:00:00Z,03/24 08:00,0.0,2020-03-24T12:00:00Z,2321,2321,489,0
20200325,AL,283.0,2529.0,,2020-03-25T11:30:00Z,03/25 07:30,0.0,2020-03-25T11:30:00Z,2812,2812,491,0
20200326,AL,506.0,3593.0,,2020-03-26T00:00:00Z,03/25 20:00,1.0,2020-03-26T00:00:00Z,4099,4099,1287,0
20200327,AL,587.0,4184.0,,2020-03-27T00:00:00Z,03/26 20:00,3.0,2020-03-27T00:00:00Z,4771,4771,672,0
20200328,AL,696.0,4184.0,,2020-03-28T00:00:00Z,03/27 20:00,3.0,2020-03-28T00:00:00Z,4880,4880,109,0
20200329,AL,806.0,4184.0,,2020-03-29T00:00:00Z,03/28 20:00,4.0,2020-03-29T00:00:00Z,4990,4990,110,0
20200330,AL,859.0,5694.0,,2020-03-29T00:00:00Z,03/28 20:00,6.0,2020-03-29T00:00:00Z,6553,6553,1563,0
20200331,AL,981.0,6298.0,,2020-03-31T00:00:00Z,03/30 20:00,13.0,2020-03-31T00:00:00Z,7279,7279,726,0
20200401,AL,1077.0,6697.0,,2020-04-01T00:00:00Z,03/31 20:00,26.0,2020-04-01T00:00:00Z,7774,7774,495,0
20200402,AL,1233.0,7503.0,,2020-04-02T00:00:00Z,04/01 20:00,32.0,2020-04-02T00:00:00Z,8736,8736,962,0
20200403,AL,1432.0,8187.0,,2020-04-03T00:00:00Z,04/02 20:00,35.0,2020-04-03T00:00:00Z,9619,9619,883,0
20200404,AL,1580.0,9273.0,,2020-04-04T00:00:00Z,04/03 20:00,43.0,2020-04-04T00:00:00Z,10853,10853,1234,0
20200405,AL,1796.0,11282.0,,2020-04-05T00:00:00Z,04/04 20:00,45.0,2020-04-05T00:00:00Z,13078,13078,2225,0
20200406,AL,1968.0,12797.0,,2020-04-06T00:00:00Z,04/05 20:00,50.0,2020-04-06T00:00:00Z,14765,14765,1687,0
20200407,AL,2119.0,12797.0,,2020-04-07T00:00:00Z,04/06 20:00,56.0,2020-04-07T00:00:00Z,14916,14916,151,0
20200408,AL,2369.0,16753.0,,2020-04-08T00:00:00Z,04/07 20:00,66.0,2020-04-08T00:00:00Z,19122,19122,4206,0
20200409,AL,2769.0,18058.0,,2020-04-09T00:00:00Z,04/08 20:00,74.0,2020-04-09T00:00:00Z,20827,20827,1705,0
20200410,AL,2968.0,18058.0,,2020-04-10T00:00:00Z,04/09 20:00,80.0,2020-04-10T00:00:00Z,21026,21026,199,0
20200411,AL,3191.0,18058.0,,2020-04-11T00:00:00Z,04/10 20:00,91.0,2020-04-11T00:00:00Z,21249,21249,223,0
20200412,AL,3525.0,18058.0,,2020-04-12T00:00:00Z,04/11 20:00,93.0,2020-04-12T00:00:00Z,21583,21583,334,0
20200413,AL,3734.0,25448.0,,2020-04-13T00:00:00Z,04/12 20:00,99.0,2020-04-13T00:00:00Z,29182,29182,7599,0
20200414,AL,3876.0,29241.0,,2020-04-14T00:00:00Z,04/13 20:00,110.0,2020-04-14T00:00:00Z,33117,33117,3935,0
20200415,AL,4113.0,29964.0,,2020-04-15T00:00:00Z,04/14 20:00,121.0,2020-04-15T00:00:00Z,34077,34077,960,0
20200416,AL,4345.0,32046.0,,2020-04-16T00:00:00Z,04/15 20:00,133.0,2020-04-16T00:00:00Z,36391,36391,2314,0
20200417,AL,4530.0,33318.0,,2020-04-17T00:00:00Z,04/16 20:00,144.0,2020-04-17T00:00:00Z,37848,37848,1457,0
20200418,AL,4655.0,37883.0,,2020-04-18T00:00:00Z,04/17 20:00,146.0,2020-04-18T00:00:00Z,42538,42538,4690,0
20200419,AL,4837.0,40875.0,,2020-04-19T00:00:00Z,04/18 20:00,154.0,2020-04-19T00:00:00Z,45712,45712,3174,0
20200420,AL,5025.0,40875.0,,2020-04-20T00:00:00Z,04/19 20:00,167.0,2020-04-20T00:00:00Z,45900,45900,188,0
20200421,AL,5231.0,43295.0,,2020-04-21T00:00:00Z,04/20 20:00,177.0,2020-04-21T00:00:00Z,48526,48526,2626,0
20200422,AL,5465.0,43295.0,,2020-04-22T00:00:00Z,04/21 20:00,194.0,2020-04-22T00:00:00Z,48760,48760,234,0
20200423,AL,5778.0,46863.0,,2020-04-23T00:00:00Z,04/22 20:00,197.0,2020-04-23T00:00:00Z,52641,52641,3881,0
20200424,AL,5832.0,46863.0,,2020-04-24T00:00:00Z,04/23 20:00,197.0,2020-04-24T00:00:00Z,52695,52695,54,0
20200425,AL,6137.0,65207.0,,2020-04-25T00:00:00Z,04/24 20:00,212.0,2020-04-25T00:00:00Z,71344,71344,18649,0
20200426,AL,6270.0,67281.0,,2020-04-26T00:00:00Z,04/25 20:00,216.0,2020-04-26T00:00:00Z,73551,73551,2207,0
20200427,AL,6499.0,67498.0,,2020-04-27T00:00:00Z,04/26 20:00,222.0,2020-04-27T00:00:00Z,73997,73997,446,0
20200428,AL,6687.0,69140.0,,2020-04-28T00:00:00Z,04/27 20:00,242.0,2020-04-28T00:00:00Z,75827,75827,1830,0
20200429,AL,6842.0,73607.0,,2020-04-29T00:00:00Z,04/28 20:00,245.0,2020-04-29T00:00:00Z,80449,80449,4622,0
20200430,AL,7019.0,80177.0,,2020-04-30T00:00:00Z,04/29 20:00,269.0,2020-04-30T00:00:00Z,87196,87196,6747,0
20200501,AL,7158.0,84775.0,,2020-05-01T00:00:00Z,04/30 20:00,279.0,2020-05-01T00:00:00Z,91933,91933,4737,0
20200502,AL,7434.0,84775.0,,2020-05-02T00:00:00Z,05/01 20:00,288.0,2020-05-02T00:00:00Z,92209,92209,276,0
20200503,AL,7725.0,84775.0,,2020-05-03T00:00:00Z,05/02 20:00,290.0,2020-05-03T00:00:00Z,92500,92500,291,0
20200504,AL,8025.0,95092.0,,2020-05-04T00:00:00Z,05/03 20:00,296.0,2020-05-04T00:00:00Z,103117,103117,10617,0
20200505,AL,8285.0,98481.0,,2020-05-05T00:00:00Z,05/04 20:00,313.0,2020-05-05T00:00:00Z,106766,106766,3649,0
20200506,AL,8581.0,100935.0,,2020-05-06T00:00:00Z,05/05 20:00,340.0,2020-05-06T00:00:00Z,109516,109516,2750,0
20200507,AL,8898.0,106275.0,,2020-05-07T00:00:00Z,05/06 20:00,349.0,2020-05-07T00:00:00Z,115173,115173,5657,0
20200508,AL,9221.0,110893.0,,2020-05-08T00:00:00Z,05/07 20:00,375.0,2020-05-08T00:00:00Z,120114,120114,4941,0
20200509,AL,9567.0,115927.0,,2020-05-09T00:00:00Z,05/08 20:00,388.0,2020-05-09T00:00:00Z,125494,125494,5380,0
20200510,AL,9777.0,117644.0,,2020-05-10T00:00:00Z,05/09 20:00,393.0,2020-05-10T00:00:00Z,127421,127421,1927,0
20200511,AL,10009.0,119435.0,,2020-05-11T00:00:00Z,05/10 20:00,401.0,2020-05-11T00:00:00Z,129444,129444,2023,0
20200512,AL,10310.0,122908.0,,2020-05-12T00:00:00Z,05/11 20:00,429.0,2020-05-12T00:00:00Z,133218,133218,3774,0
20200513,AL,10617.0,125755.0,,2020-05-13T00:00:00Z,05/12 20:00,449.0,2020-05-13T00:00:00Z,136372,136372,3154,0
20200514,AL,10968.0,131017.0,,2020-05-14T00:00:00Z,05/13 20:00,467.0,2020-05-14T00:00:00Z,141985,141985,5613,0
20200515,AL,11216.0,134847.0,,2020-05-15T00:00:00Z,05/14 20:00,476.0,2020-05-15T00:00:00Z,146063,146063,4078,0
20200516,AL,11523.0,141971.0,,2020-05-16T00:00:00Z,05/15 20:00,485.0,2020-05-16T00:00:00Z,153494,153494,7431,0
20200517,AL,11771.0,144579.0,,2020-05-16T00:00:00Z,05/15 20:00,488.0,2020-05-16T00:00:00Z,156350,156350,2856,0
20200518,AL,12086.0,145037.0,,2020-05-18T00:00:00Z,05/17 20:00,489.0,2020-05-18T00:00:00Z,157123,157123,773,0
20200519,AL,12376.0,145190.0,,2020-05-18T00:00:00Z,05/17 20:00,504.0,2020-05-18T00:00:00Z,157566,157566,443,0
20200520,AL,12744.0,151706.0,,2020-05-19T00:00:00Z,05/18 20:00,517.0,2020-05-19T00:00:00Z,164450,164450,6884,0
20200521,AL,13119.0,157620.0,,2020-05-21T00:00:00Z,05/20 20:00,529.0,2020-05-21T00:00:00Z,170739,170739,6289,0
20200522,AL,13563.0,164205.0,7951.0,2020-05-22T00:00:00Z,05/21 20:00,537.0,2020-05-22T00:00:00Z,177768,177768,7029,0
20200523,AL,13938.0,168738.0,7951.0,2020-05-23T00:00:00Z,05/22 20:00,546.0,2020-05-23T00:00:00Z,182676,182676,4908,0
20200524,AL,14327.0,171472.0,7951.0,2020-05-24T00:00:00Z,05/23 20:00,551.0,2020-05-24T00:00:00Z,185799,185799,3123,0
20200525,AL,14730.0,175585.0,7951.0,2020-05-25T00:00:00Z,05/24 20:00,562.0,2020-05-25T00:00:00Z,190315,190315,4516,0
20200526,AL,15396.0,178363.0,7951.0,2020-05-26T00:00:00Z,05/25 20:00,575.0,2020-05-26T00:00:00Z,193759,193759,3444,0
20200527,AL,15843.0,179951.0,7951.0,2020-05-27T00:00:00Z,05/26 20:00,581.0,2020-05-27T00:00:00Z,195794,195794,2035,0
20200528,AL,16310.0,184171.0,9355.0,2020-05-28T00:00:00Z,05/27 20:00,590.0,2020-05-28T00:00:00Z,200481,200481,4687,0
20200529,AL,16823.0,192060.0,9355.0,2020-05-29T00:00:00Z,05/28 20:00,605.0,2020-05-29T00:00:00Z,208883,208883,8402,0
20200530,AL,17359.0,194842.0,9355.0,2020-05-30T00:00:00Z,05/29 20:00,618.0,2020-05-30T00:00:00Z,212201,212201,3318,0
